<<<,,,,
Caffeine,,,,
Relates to: ,Quadratic regression,,,
Variables,Caf%,"Caffeine content of coffee after extraction, measured in percentages",,
,Extr%,Number of extractions,,
,,,,
Caf%,Extr,,,
0.259,1,,,
0.241,2,,,
0.145,3,,,
0.179,3,,,
0.162,3,,,
0.146,4,,,
0.125,5,,,
0.12,5,,,
0.117,6,,,
0.112,6,,,
0.096,6,,,
0.108,7,,,
0.078,8,,,
0.078,9,,,
0.09,9,,,
0.084,10,,,
0.070,11,,,
0.076,11,,,
0.077,11,,,
0.055,12,,,
0.079,14,,,
0.046,14,,,
0.062,14,,,
0.053,14,,,
0.065,14,,,
